ENS_GENEID	geneSymbol
ENSRNOG00000060641	SNORA17
ENSRNOG00000040438	AABR07016556.2
ENSRNOG00000047065	Spink2
ENSRNOG00000007120	Mtmr3
ENSRNOG00000007125	Vps54
ENSRNOG00000001980	Ugt2b35
ENSRNOG00000013532	Pgam2
ENSRNOG00000006740	Gatsl3
ENSRNOG00000005077	AABR07015719.1
ENSRNOG00000031928	Vom2r67
ENSRNOG00000049955	Npc1l1
ENSRNOG00000023299	Hfm1
ENSRNOG00000059646	SNORA17
ENSRNOG00000004959	Actr2
ENSRNOG00000054691	U1
ENSRNOG00000029107	RGD1561694
ENSRNOG00000047293	LOC100363068
ENSRNOG00000052037	AABR07015917.1
ENSRNOG00000053636	7SK
ENSRNOG00000051674	AABR07015399.1
ENSRNOG00000051676	U6
ENSRNOG00000055956	AABR07015078.1
ENSRNOG00000058410	SNORA25
ENSRNOG00000002782	Epgn
ENSRNOG00000029064	Zcchc4
ENSRNOG00000008786	Ap1b1
ENSRNOG00000029397	Gk2
ENSRNOG00000003666	Igj
ENSRNOG00000002200	AABR07072371.1
ENSRNOG00000002202	Sowahb
ENSRNOG00000002203	Lin54
ENSRNOG00000002204	Ccdc158
ENSRNOG00000002205	Ociad1
ENSRNOG00000002207	Guf1
ENSRNOG00000002208	Shroom3
ENSRNOG00000056613	7SK
ENSRNOG00000046829	Kdr
ENSRNOG00000053840	Fam47e
ENSRNOG00000026716	Rpl9
ENSRNOG00000060971	AABR07016056.2
ENSRNOG00000059213	SNORD113
ENSRNOG00000021931	Uba6
ENSRNOG00000057361	SNORA44
ENSRNOG00000002011	Gnrhr
ENSRNOG00000002014	Stap1
ENSRNOG00000050982	AABR07014301.2
ENSRNOG00000047582	AABR07014087.1
ENSRNOG00000056117	SNORA17
ENSRNOG00000021776	Cenpc
ENSRNOG00000009240	LOC690096
ENSRNOG00000051567	AABR07015994.1
ENSRNOG00000059394	5_8S_rRNA
ENSRNOG00000032471	Asb3
ENSRNOG00000060606	Rn60_14_1004.2
ENSRNOG00000059029	U6
ENSRNOG00000002843	Cxcl6
ENSRNOG00000061231	Selm
ENSRNOG00000060726	AABR07072423.1
ENSRNOG00000036145	5S_rRNA
ENSRNOG00000007049	Bcl11a
ENSRNOG00000038891	Grxcr1
ENSRNOG00000006394	Tbc1d10a
ENSRNOG00000051014	AABR07016418.1
ENSRNOG00000045826	AABR07014756.1
ENSRNOG00000047460	AABR07015556.1
ENSRNOG00000058945	U1
ENSRNOG00000058492	SNORA18
ENSRNOG00000059729	AC116236.2
ENSRNOG00000004280	Tcn2
ENSRNOG00000004281	Cobl
ENSRNOG00000033575	Emid1
ENSRNOG00000055601	U4
ENSRNOG00000019325	Rnf185
ENSRNOG00000054929	AABR07072414.1
ENSRNOG00000051736	SNORA76
ENSRNOG00000023578	Prol1
ENSRNOG00000022229	Sdad1
ENSRNOG00000005180	Vstm2a
ENSRNOG00000002866	Rassf6
ENSRNOG00000004327	Ddc
ENSRNOG00000061527	Gck
ENSRNOG00000003052	Cox18
ENSRNOG00000013647	Polm
ENSRNOG00000038140	Whsc1
ENSRNOG00000002097	Rasl11b
ENSRNOG00000030614	LOC689899
